id,topic,likes,comments
695707917166339_1012148438855617,3,6,1
695707917166339_1012557758814685,3,1,3
695707917166339_1012014178869043,1,0,3
695707917166339_1012418248828636,3,0,5
695707917166339_1012148408855620,3,17,25
695707917166339_1012014172202377,2,0,1
695707917166339_1012418195495308,0,1,1
695707917166339_1012641875472940,0,0,2
695707917166339_1012279398842521,2,3,0
695707917166339_1012279448842516,3,2,4
695707917166339_1012418278828633,0,14,7
695707917166339_1012557822148012,1,25,9
695707917166339_1011255448944916,0,1,0
695707917166339_1011476848922776,0,8,4
695707917166339_1011476855589442,3,2,5
695707917166339_1011578145579313,3,1,0
695707917166339_1011890172214777,0,4,9
695707917166339_1011362185600909,3,2,1
695707917166339_1011855352218259,0,1,0
695707917166339_1011855262218268,3,2,1
695707917166339_1011362205600907,1,25,13
695707917166339_1011578178912643,0,1,2
695707917166339_1011255492278245,1,1,1
695707917166339_1011362148934246,3,0,1
695707917166339_1012014155535712,1,1,5
695707917166339_1011476868922774,1,0,0
695707917166339_1011255465611581,3,11,0
695707917166339_1011255432278251,1,0,1
695707917166339_1011578152245979,1,0,0
695707917166339_1011890192214775,1,14,2
695707917166339_1011362175600910,3,0,1
695707917166339_1011855278884933,3,16,6
695707917166339_1011578158912645,0,25,3
695707917166339_1012014135535714,3,13,3
695707917166339_1011362225600905,2,11,5
695707917166339_1011578232245971,0,0,0
695707917166339_1010315642372230,3,0,8
695707917166339_1010965372307257,1,0,1
695707917166339_1010861542317640,3,3,3
695707917166339_1010728382330956,3,4,1
695707917166339_1010283429042118,3,1,3
695707917166339_1010965405640587,1,2,0
695707917166339_1010315535705574,3,6,0
695707917166339_1010728162330978,3,1,9
695707917166339_1010965728973888,0,25,4
695707917166339_1010315589038902,3,13,4
695707917166339_1011255418944919,2,2,3
695707917166339_1010728065664321,3,0,0
695707917166339_1010965348973926,3,3,1
695707917166339_1010861578984303,1,25,16
695707917166339_1011146192289175,0,6,4
695707917166339_1011146305622497,0,2,3
695707917166339_1010861638984297,3,7,3
695707917166339_1010965465640581,1,2,2
695707917166339_1011146165622511,0,2,3
695707917166339_1011146462289148,1,3,6
695707917166339_1010728108997650,3,0,0
695707917166339_1010861602317634,1,3,1
695707917166339_1011146345622493,3,3,1
695707917166339_1010728032330991,0,1,8
695707917166339_1010240772379717,1,3,1
695707917166339_1010283349042126,3,4,3
695707917166339_1009716459098815,0,0,4
695707917166339_1009716502432144,3,8,4
695707917166339_1010112652392529,3,3,5
695707917166339_1009968629073598,0,0,0
695707917166339_1009968549073606,3,0,5
695707917166339_1009582912445503,0,1,1
695707917166339_1009716482432146,2,0,7
695707917166339_1009716455765482,1,0,0
695707917166339_1009839859086475,3,25,0
695707917166339_1010112589059202,0,12,3
695707917166339_1010264459044015,3,0,0
695707917166339_1009968575740270,1,9,15
695707917166339_1010112565725871,1,0,0
695707917166339_1009839842419810,0,3,2
695707917166339_1009968559073605,0,0,0
695707917166339_1009839869086474,3,1,2
695707917166339_1010283395708788,3,0,3
695707917166339_1009582925778835,1,2,1
695707917166339_1009839875753140,0,2,2
695707917166339_1009716512432143,3,7,3
695707917166339_1010112539059207,2,1,0
695707917166339_1009968532406941,1,0,4
695707917166339_1009839902419804,1,14,2
695707917166339_1009070909163370,3,7,3
695707917166339_1009070879163373,1,13,0
