id,topic,likes,comments
695707917166339_969137716490023,1,6,1
695707917166339_969045473165914,1,10,5
695707917166339_968905173179944,1,2,5
695707917166339_968906896513105,1,0,3
695707917166339_968546806549114,1,0,4
695707917166339_968906886513106,1,0,1
695707917166339_969045336499261,1,1,1
695707917166339_968513066552488,1,0,0
695707917166339_968490849888043,1,1,1
695707917166339_967780133292448,1,0,2
695707917166339_968350786568716,1,4,1
695707917166339_967780096625785,1,6,4
695707917166339_968460439891084,1,0,1
695707917166339_967736259963502,1,0,5
695707917166339_967095833360878,1,0,0
695707917166339_967129833357478,1,12,4
695707917166339_967104756693319,1,11,5
695707917166339_967095820027546,1,2,1
695707917166339_966812910055837,1,4,0
695707917166339_966831456720649,1,1,3
695707917166339_966831426720652,1,25,10
695707917166339_966421333428328,1,0,1
695707917166339_966520466751748,1,1,6
695707917166339_965846193485842,1,0,2
695707917166339_966244226779372,1,4,2
695707917166339_966243953446066,1,10,2
695707917166339_966292836774511,1,1,2
695707917166339_966264690110659,1,2,7
695707917166339_965639990173129,1,6,2
695707917166339_964961496907645,1,10,1
695707917166339_964961576907637,1,1,4
695707917166339_964797786924016,1,3,3
695707917166339_964961400240988,1,1,5
695707917166339_965003383570123,1,1,2
695707917166339_964773203593141,1,9,3
695707917166339_964773216926473,1,1,3
695707917166339_964797740257354,1,1,3
695707917166339_964797700257358,1,0,3
695707917166339_964551380281990,1,2,4
695707917166339_964717586932036,1,3,0
695707917166339_964551500281978,1,1,3
695707917166339_964501480286980,1,0,1
695707917166339_964476850289443,1,1,3
695707917166339_963979677005827,1,1,2
695707917166339_963954103675051,1,4,3
695707917166339_964477016956093,1,16,5
695707917166339_964477033622758,1,25,1
695707917166339_964042786999516,1,15,1
695707917166339_964096473660814,1,4,3
695707917166339_963586340378494,1,8,3
695707917166339_963623900374738,1,0,5
695707917166339_963826413687820,1,3,8
695707917166339_963658180371310,1,13,4
695707917166339_963533523717109,1,2,1
695707917166339_963562103714251,1,5,0
695707917166339_963809173689544,1,10,3
695707917166339_963809117022883,1,11,2
695707917166339_963600503710411,1,1,0
695707917166339_963199157083879,1,11,4
695707917166339_963378827065912,1,0,4
695707917166339_963371317066663,1,10,1
695707917166339_963033897100405,1,1,2
695707917166339_963153443755117,1,0,2
695707917166339_963153477088447,1,2,5
695707917166339_962855937118201,1,3,8
695707917166339_962794143791047,1,12,6
695707917166339_962539833816478,1,4,4
695707917166339_962515870485541,1,2,2
695707917166339_962329093837552,1,25,3
695707917166339_962347993835662,1,14,8
695707917166339_962273387176456,1,7,4
695707917166339_962308063839655,1,25,4
695707917166339_962292807174514,1,3,1
695707917166339_961923857211409,1,25,4
695707917166339_962022337201561,1,25,3
695707917166339_962082140528914,1,2,2
695707917166339_961893457214449,1,13,1
695707917166339_961874407216354,1,1,5
695707917166339_961923870544741,1,25,0
695707917166339_962046470532481,1,4,0
695707917166339_961751643895297,1,1,4
695707917166339_962079593862502,1,0,2
695707917166339_961874437216351,1,1,2
695707917166339_961903293880132,1,25,1
695707917166339_962046650532463,1,7,1
695707917166339_962079607195834,1,1,0
695707917166339_962022130534915,1,1,0
695707917166339_961553427248452,1,0,5
695707917166339_961488207254974,1,0,0
695707917166339_961460320591096,1,25,1
695707917166339_961460347257760,1,2,1
695707917166339_961460283924433,1,0,0
695707917166339_961199447283850,1,22,0
695707917166339_961275343942927,1,7,1
695707917166339_961182427285552,1,1,3
695707917166339_961275397276255,1,0,2
695707917166339_961355097268285,1,25,8
695707917166339_960931980643930,1,0,6
695707917166339_961394717264323,1,6,0
695707917166339_961394710597657,1,2,1
695707917166339_960866117317183,1,7,1
695707917166339_960880413982420,1,4,1
695707917166339_960866080650520,1,2,5
695707917166339_960904190646709,1,6,8
695707917166339_960643040672824,1,4,1
695707917166339_960719420665186,1,6,4
695707917166339_960867933983668,1,2,3
695707917166339_960737330663395,1,2,4
695707917166339_960383657365429,1,1,9
695707917166339_960437967359998,1,15,9
695707917166339_960383704032091,1,9,10
695707917166339_960293257374469,1,12,25
695707917166339_960438034026658,1,7,6
695707917166339_960413680695760,1,2,16
695707917166339_960101990726929,1,25,20
695707917166339_960101887393606,1,0,3
695707917166339_959962584074203,1,7,0
695707917166339_959915524078909,1,1,13
695707917166339_959809957422799,1,10,1
695707917166339_959227014147760,1,0,2
695707917166339_959626570774471,1,8,3
695707917166339_959339064136555,1,5,3
695707917166339_959626320774496,1,0,2
695707917166339_959626507441144,1,13,7
695707917166339_959706750766453,1,3,1
695707917166339_959368380800290,1,1,2
695707917166339_959308737472921,1,4,2
695707917166339_958885050848623,1,0,2
695707917166339_958885104181951,1,5,3
695707917166339_958943550842773,1,0,3
695707917166339_958757447528050,1,0,2
695707917166339_958571650879963,1,2,1
695707917166339_958885020848626,1,0,2
695707917166339_959037374166724,1,1,4
695707917166339_958750664195395,1,1,2
695707917166339_958750647528730,1,1,0
695707917166339_958539460883182,1,20,0
695707917166339_958240550913073,1,4,2
695707917166339_958185430918585,1,4,3
695707917166339_958156400921488,1,5,4
695707917166339_958156444254817,1,4,1
695707917166339_958156294254832,1,3,1
695707917166339_957729880964140,1,4,1
695707917166339_957952890941839,1,1,1
695707917166339_957729860964142,1,2,1
695707917166339_957626110974517,1,8,0
695707917166339_957680240969104,1,0,0
695707917166339_957619047641890,1,0,1
695707917166339_957680260969102,1,6,1
695707917166339_957624530974675,1,25,1
695707917166339_957619024308559,1,1,3
695707917166339_957704790966649,1,25,3
695707917166339_957602064310255,1,1,2
695707917166339_957402220996906,1,5,1
695707917166339_957572404313221,1,2,3
695707917166339_957577940979334,1,2,1
695707917166339_957425844327877,1,0,5
695707917166339_957425870994541,1,12,3
695707917166339_957426047661190,1,16,6
695707917166339_957457227658072,1,25,4
695707917166339_957572387646556,1,6,2
695707917166339_957549914315470,1,0,1
695707917166339_957596614310800,1,7,1
695707917166339_957540960983032,1,1,2
695707917166339_957540867649708,1,25,0
695707917166339_957135784356883,1,11,3
695707917166339_957360604334401,1,12,2
695707917166339_957082231028905,1,0,10
695707917166339_957361301000998,1,3,2
695707917166339_957383594332102,1,4,1
695707917166339_957135767690218,1,22,3
695707917166339_957108861026242,1,7,0
695707917166339_957024801034648,1,21,8
695707917166339_957135791023549,1,11,2
695707917166339_957053104365151,1,25,2
695707917166339_957082111028917,1,1,3
695707917166339_957135811023547,1,1,2
695707917166339_957053097698485,1,25,6
695707917166339_957360487667746,1,2,1
695707917166339_956931304377331,1,0,1
